연,월,일,시,분,수신지역,내용
2020,10,29,18,30,동작구,"[동작구청]10.19.~10.26. 제일맛집(동작구 사당로30길96, 1층)방문자 중 코로나 유증상이 있으신 분은 동작구 보건소에서 진단검사를 받으시기 바랍니다."
2020,10,31,11,22,강서구,"[강서구청]10.26.~10.29. 벗골식당(강서구 등촌동 697-1, 지층)방문자는 코로나19 증상관계없이 강서구보건소에서 검사바랍니다."
2020,10,31,12,12,강서구,"[강서구청](주소정정)10.26.~10.29. 벗골식당(강서구 등촌동 696, 지층)방문자는 코로나19 증상관계없이 강서구보건소 검사바랍니다."
2020,11,4,17,26,성동구,"[성동구청] 11.4(수) 145번 확진자 발생(성수2가1동,60대) 11.2성동구민종합체육센터 방문자 코로나19 검사 안내문자 발송 c19.sd.go.kr"
2020,11,10,16,9,동작구,[동작구청]10.31(토)~11.09(월) 흑석제과(동작구 서달로162)방문하신 분 중 코로나 증상이 있으신 분은 동작구 보건소에서 진단검사를 받으시기 바랍니다.
2020,11,13,16,9,강북구,"[강북구청]11.05.13:50~16:00, 이상배피부과(도봉로 328)방문자중 코로나 유증상자는 강북보건소 검사(09~18시) 바랍니다. 문의:901-7704"
2020,11,14,14,33,도봉구,[도봉구청] 11.8(일) 12~15시까지 도봉2동 소재 성우사우나 여탕을 이용하신 분은 도봉보건소를 방문하여 코로나19 검사를 받으시기 바랍니다.
2020,11,15,14,32,강서구,"[강서구청] 11.10.~11.13. 옛날칼국수(강서구 화곡8동 340-44, 1층) 방문자는 코로나19 증상과 관계없이 강서구보건소에서 검사바랍니다."
2020,11,15,15,31,도봉구,[도봉구청] 11. 9(월)16시~22시까지 도봉2동 소재 성우사우나 여탕을 이용하신 분은 도봉보건소를 방문하여 코로나19 검사를 받으시기 바랍니다.
2020,11,16,16,27,성동구,[성동구청] 11/4~11/15 기간 중 꽃보다족발(성동구 왕십리로24길16)방문자는 가까운보건소에서 코로나19 검사를 받으시기 바랍니다(02-2286-7172)
2020,11,16,17,29,도봉구,[도봉구청] 11. 5(목) ~11. 13(금)기간중 도봉1동 소재 청련사를 방문하신분께서는 도봉보건소를 방문하여 반드시 코로나19 검사를 받으시기 바랍니다.
2020,11,16,19,4,도봉구,[도봉구청]11.5(목) ~ 11.13(금) 기간중  청련사(도봉1동 616-15 2층)를 방문하신 분은 도봉보건소에서 코로나19 검사를 받으시기 바랍니다
2020,11,17,14,15,성동구,"[성동구청] 11/11~11/15 성동구 3POP피씨방(장터길34,B1) 방문자는 가까운 보건소에서 코로나19 검사를 받으시기 바랍니다 (02-2286-7172)"
2020,11,18,19,38,도봉구,[도봉구청] 11.6(금) 12시~16시까지 방학1동 소재 월드사우나 여탕을 이용하신 분은 도봉보건소를 방문하여 코로나19검사를 받으시기 바랍니다.
2020,11,19,10,37,성북구,[성북구청] 11.15.(일)01:30~05:00 정릉동 풍년포차(정릉로10길 34) 방문자 증상유무 상관없이 성북구보건소에서 코로나19검사 받으시기 바랍니다.
2020,11,19,11,15,강서구,"[강서구청] 11.14.(토) 17:00~23:00 민속주점 달빛토방(화곡동 398-23, 1층) 방문자는 코로나19 증상관계 없이 강서구보건소에서 검사바랍니다."
2020,11,19,13,54,종로구,[종로구청]11.12(목)~11.16(월) 종로구 순창식당(종로5길32-3) 방문자는 주소지 관할 보건소 선별진료소에서 코로나19 검사를 받으시기 바랍니다.
2020,11,19,19,37,동대문구,[동대문구청]11.9(월)~11.13(금)까지 전주식당(청량리동 653)을 방문하신 분들 중 유증상시 동대문구 선별진료소에서 코로나19 검사를 받으시기 바랍니다.
2020,11,20,11,55,강서구,"[강서구청] 11.13.(금)~11.18.(수) 유림식당(염창동5-17, 가양레포츠센터 건너편) 방문자는 코로나19 증상관계없이 강서구보건소에서 검사바랍니다."
2020,11,20,18,53,동작구,[동작구청]11.12.~11.19.믿음꽃화원(동작구 동작대로29길45)방문하신 분 중 코로나 유증상이 있으신 분은 동작구 보건소에서 진단검사를 받으시기 바랍니다.
2020,11,21,10,39,성북구,[성북구청] 11.10~11.17 종암동 조마고(종암로21길67) 방문자(배달음식포함)는 증상유무 상관없이 성북구보건소에서 코로나19 검사받으시기 바랍니다.
2020,11,24,14,14,성북구,[성북구청] 11.17~11.21 돈암제일시장 내 동안김치(동소문로 18길 12) 방문자는 증상유무 상관없이 성북구보건소에서 코로나19 검사 받으시기 바랍니다.
2020,11,29,17,47,강동구,"[강동구청]11.24.(화)~27.(금)벌교꼬막1,2호점(길동381-14/길동414-3)방문자는 유선문의후 코로나19검사를 받으시기 바랍니다.(3425-6713)"
2020,12,1,9,50,성동구,[성동구청] 11/23~11/28 김동환이비인후과(행당로1) 방문자는 금일중 가까운 보건소에서 코로나19 검사를 받으시기 바랍니다(02-2286-7172)
2020,12,10,10,29,성동구,[성동구청] 12/2(수)~8(화) 빛의자녀교회(성수2가3동) 예배 및 방문자는 가까운 보건소에서 코로나19검사를 받으시기 바랍니다.(02-2286-7172)
2020,12,11,19,3,성동구,"[성동구청]12/7(월),9일(수)~11(금) 삼성쉐르빌사우나 방문자는 보건소에서 코로나19 검사 요망. 자세한 사항 문의 02-2286-7172"
2020,12,16,14,24,성북구,[성북구청] 12.10~12.15. 동소문동 우주온누리약국(아리랑로 15) 방문자는 증상유무 상관없이 성북구보건소(구청)에서 코로나19 검사 받으시기 바랍니다.
2020,12,18,11,14,성북구,[성북구청] 12.7~12. 동소문동 무한리필고기굼터(동소문로6길 4-23) 방문자는 증상유무 상관없이 성북구보건소(구청)에서 코로나19 검사 받으시기 바랍니다.
2020,12,18,15,44,서초구,[서초구청] 2020.12.3(목)~12.13(일) 정곡빌딩 동관(서초구 법원로16) 방문하신 분은 가까운 선별진료소에서 코로나19 검사 받으시기 바랍니다.
2020,12,18,18,51,성북구,[성북구청] 12.16(수) 13시~15시 삼선동 삼영사우나 여탕(동소문로8길 23) 방문자는 반드시 성북구보건소(구청)에서 코로나19 검사를 받으시기 바랍니다.
2020,12,19,9,53,중구,[중구청] 확진자 중구 이동경로 안내. vo.la/Je7MS 해당시간대  방문자 중 유증상자는 코로나19 검사 받으시기 바랍니다.
2020,12,19,18,20,도봉구,[도봉구청] 12.4(금)~12.16(수) 도봉2동 모둠전호프 방문자는 도봉구보건소에서 코로나19 검사를 받으시기 바랍니다.
2020,12,21,15,8,성북구,[성북구청]12.15.~12.20. 보문동 엄가네영양순대국(보문로71) 방문자는 증상유무 상관없이 성북구보건소(구청)에서 코로나19 검사 받으시기 바랍니다.
2020,12,22,11,0,금천구,[금천구청]예수비젼교회(가산로9) 12.12~12.20 방문자는(검사 완료자 제외) 거주지 선별진료소에서 반드시 코로나19 검사를 받으시기 바랍니다.
2021,1,1,12,1,강동구,[강동구청]12.24(목)11:30~13:30 성내동 반상회 음식점(강동대로53길50)방문자는 강동구보건소(3425-6713)문의후 코로나19검사 받으시기바랍니다
2021,1,9,17,48,도봉구,"[도봉구청]1.6(수) 12시~17시까지 삼익대중목욕탕(창2동) 여탕이용자는 선별진료소(보건소2091-4483,4490)를 방문하여 코로나검사를 받으시기 바랍니다"
2021,1,11,16,47,성동구,[성동구청]495~502번 확진자 발생/ 12.26(토)~1.10(일) 천리교 종교시설(마장로125) 방문자는 코로나검사를 받으시기바랍니다 c19.sd.go.kr
2021,1,11,19,10,중구,[중구청]294~296번째(3명) 확진자 발생. 동시간대(1.4~1.8) 해당식당 방문자 중 유증상자는 코로나19 검사를 받으시기 바랍니다. vo.la/quyIy
2021,1,12,9,58,중랑구,[중랑구청]2020.12.30~2021.1.10 중화동 백두산자수장사우나 남탕 방문자는 금일 16시까지 중랑구보건소 선별진료소에서 코로나 검사를 받으시기 바랍니다
2021,1,15,19,6,중구,[중구청] 308번째(1명) 확진자 발생 및 타구확진자 이동경로 안내. vo.la/Je7MS 해당장소 방문자 중 코로나19 증상 있는 분은 검사 바랍니다.
2021,1,16,16,29,성북구,[성북구청] 1.14.16:00~1.15.12:00 월곡2동 월곡건강랜드 방문자는 증상유무 상관없이 성북구보건소에서 코로나19 검사 받으시기 바랍니다.
2021,1,16,20,6,성동구,"[성동구청]1월 9,12,13,15일 금호1가동 쓰리팝PC방(난계로32), 방문자는 가까운 보건소에서 코로나19 검사를 받으시기 바랍니다(02-2286-7172)"
2021,1,20,20,26,성동구,[성동구청] 1월 16일(토) 금호4가동 혜성사우나(독서당로 302) 방문자는 가까운 보건소에서 코로나19 검사를 받으시기 바랍니다(02-2286-7172)
2021,1,22,20,57,성동구,"[성동구청] 1.18(월)~19(화) 왕십리로 114(성수1가2동) ""스포츠당구장"" 방문자는 보건소에서 코로나19 검사를 받으시기 바랍니다 02-2286-7172"
2021,1,22,20,58,성동구,"[성동구청] 1.19(화)~22(금) 독서당로 302(금호4가동)""혜성사우나"" 남탕 방문자는 보건소에서 코로나19 검사를 받으시기 바랍니다 02-2286-7172"
2021,1,28,9,28,성북구,[성북구청] 1.16.(토)20:00~1.27.(수)13:00 종암동 봉이랜드 방문자는 증상유무 상관없이 성북구보건소에서 코로나19 검사 받으시기 바랍니다.
2021,1,29,13,20,성북구,[성북구청] 1.25.(월)09:00~1.26.(화)21:00 종암동 국빈(중식당) 방문자는 증상유무 상관없이 성북구보건소에서 코로나19 검사 받으시기 바랍니다.
2021,1,29,19,26,중랑구,[중랑구청] 2021. 1.24.(일)~28.(목) 동안 면목7동 소재 반석교회를 방문한 교인 및 접촉자는 선별진료소에서 코로나19 검사를 받으시기 바랍니다.
